stateName	value
ALASKA	10.83376668
ALABAMA	9.46700943
ARKANSAS	12.08782206
ARIZONA	16.98870764
CALIFORNIA	25.00969605
COLORADO	14.11141863
CONNECTICUT	10.86082933
DC	8.5
DELAWARE	5.28578104
FLORIDA	20.07767445
GEORGIA	18.69824941
HAWAII	18.85997724
IOWA	11.52406016
IDAHO	3.62553099
ILLINOIS	9.4867844
INDIANA	8.00642931
KANSAS	14.7683042
KENTUCKY	14.23699213
LOUISIANA	16.05746775
MASSACHUSETTS	9.12513235
MARYLAND	19.64570797
MAINE	7.52259788
MICHIGAN	15.31860275
MINNESOTA	6.55786202
MISSOURI	11.01308552
MISSISSIPPI	12.03074658
MONTANA	18.39393813
NORTH CAROLINA	10.95311846
NORTH DAKOTA	25.10149592
NEBRASKA	12.65695948
NEW HAMPSHIRE	9.01843368
NEW JERSEY	18.86579088
NEW MEXICO	13.42855457
NEVADA	46.00730928
NEW YORK	14.19493669
OHIO	24.8849973
OKLAHOMA	10.73801344
OREGON	13.89930992
PENNSYLVANIA	8.27963094
RHODE ISLAND	7.57362032
SOUTH CAROLINA	12.4587788
SOUTH DAKOTA	17.47296641
TENNESSEE	10.45407185
TEXAS	15.76315858
UTAH	7.3433227
VIRGINIA	1.19289137
VERMONT	7.9866846
WASHINGTON	15.48041372
WISCONSIN	8.66350379
WEST VIRGINIA	5.42261709
WYOMING	10.23703863
